"Australia","Australia1","Australia2","Australia3","Australia4","Canada","Canada1","Canada2","Canada3","Canada4","China","China1","China2","China3","China4","Germany","Germany1","Germany2","Germany3","Germany4","Thailand","Thailand1","Thailand2","Thailand3","Thailand4","Belgium","Belgium1","Belgium2","Belgium3","Belgium4","India","India1","India2","India3","India4"
0,0,0,0,0,0,0,0,0,0,8.62e-06,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.100008624,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.031257963,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.002803975,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.001117822,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.000688308,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.00028572,0,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.000199981,0,5,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.000198121,0,5,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.000125383,0,6,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,8.07422e-05,0,6,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6.67797e-05,0,6,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4.95953e-05,0,6,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.00038364,0,6,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.000299571,0,7,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.000233654,0,8,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.000241001,0,8,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.000237722,0,8,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.000224,0,8,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.000168,0,8,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.000142,0,8,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.000145,0,8,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.000172,0,8,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.000165,0,8,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.000159,0,8,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0.000156,0,8,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0.00015,0,8,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0.000152,0,8,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0.00018,0,8,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,0.000179,0,8,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,0.000178,0,8,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,3,0.000195,0,8,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,3,0.000193,0,8,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,3,0.000189,0,8,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,3,0.000185,0,8,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,3,0.000181,0,8,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,4,0.000181,0,8,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,2,0,0,0,0,5,0.000198,0,8,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,5,0,0,1,0,5,0.000198,0,8,0,11,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.025,0,1,0,5,0,0,1,0,6,0.000198,0,8,0,11,0,0,2,0,0,5.66893e-05,0,0,0,0,0,0,6,0,0,0,0,0,0,0
0.025,0,1,0,6,0,0,1,0,7,0.000196,0,8,0,11,0,0,2,0,1,5.40833e-05,0,0,0,0,0,0,14,0,0,0,0,1,0,0
0.025,0,1,0,7,0,0,1,0,7,0.000213,0,8,0,11,0,0,3,0,1,5.40833e-05,0,2,0,0,0,0,19,0,0,0,0,8,0,0
0.025206612,0,2,0,7,0,0,1,0,10,0.000212,0,8,0,11,0,0,3,0,1,5.40833e-05,0,2,0,0,0,0,33,0,0,0,0,8,0,0
0.011317723,0,2,0,7,0,0,2,0,10,0.00021,0,8,0,11,0,0,3,0,1,4.52694e-05,0,2,0,0,0,0,54,0,0,0,0,8,0,0
0.01125904,0,2,0,9,0,0,2,0,10,0.000204,0,8,0,11,0,0,3,0,1,4.34028e-05,0,2,0,0,0,0,77,0,0,0,0,8,0,0
0.011238662,0,2,0,9,0,0,4,0,10,0.000204,0,8,0,11,0,0,4,0,1,4e-05,0,2,0,0,0,0,85,0,0,0,0,8,0,0
0.011249615,0,3,0,9,0,0,5,0,11,0.000209,0,8,0,11,0,0,5,0,1,4e-05,0,2,0,0,0,0,86,0,0,0,0,8,0,0
0.006336806,0,4,0,9,9.76563e-05,0,8,0,11,0.000208,0,8,0,11,1.45e-07,0,5,0,1,4e-05,0,2,0,0,0,0,94,0,0,0,0,8,0,0
0.002843894,0,6,0,9,9.76563e-05,0,14,0,11,0.000206,0,9,0,11,9.42e-08,0,6,0,1,3.55999e-05,0,2,0,0,0,0,95,0,0,0,0,9,0,8
0.001281905,0,9,0,11,6.57462e-05,0,21,0,12,0.000204,0,9,0,11,8.24e-08,0,12,0,1,2.87274e-05,0,3,0,0,3.04e-06,0,95,0,0,2.60146e-05,0,10,0,8
0.001281905,0,10,0,12,4.7259e-05,0,32,0,12,0.000204,0,9,0,11,6.95e-08,0,16,0,1,2.04082e-05,0,4,0,0,3.04e-06,0,95,0,0,1.87652e-05,0,11,0,13
0.000533834,0,13,0,12,2.44141e-05,0,40,0,12,0.000209,0,10,0,11,5.18e-08,0,19,0,1,1.77778e-05,0,4,0,0,9.6e-07,0,95,0,0,2.97442e-05,0,12,0,13
0.000361965,0,16,0,13,2.44141e-05,0,45,0,13,0.000206,0,14,0,11,4.28e-08,0,26,0,1,1.48721e-05,0,4,0,0,8.43e-07,0,96,0,0,1.92234e-05,0,12,0,13
0.000357159,0,16,0,13,1.87652e-05,0,47,0,13,0.000204,0,16,0,11,3.28e-08,0,33,0,1,7.69e-06,0,4,0,0,5.1e-07,0,98,0,0,1.56629e-05,0,14,0,15
0.000134391,0,17,0,13,3.77038e-05,0,49,0,13,0.000201,0,17,0,11,3.21e-08,0,44,0,1,4.63e-06,0,4,0,0,4.47e-07,0,100,0,0,1.41233e-05,0,16,0,15
0.000113129,0,17,0,13,4.06257e-05,0,49,0,13,0.000201,0,18,0,11,2.8e-08,0,46,0,1,3.19e-06,0,5,0,0,6.47e-07,0,103,0,0,1.4878e-05,0,19,0,18
8.86464e-05,0,20,0,13,2.2281e-05,0,50,0,13,0.000198,0,18,0,11,1.84e-08,0,47,0,1,2.22e-06,0,9,0,0,6.34e-07,0,107,0,0,1.23274e-05,0,25,0,19
4.22873e-05,0,26,0,13,2.14624e-05,0,50,0,13,0.000195,0,19,0,11,1.87e-08,0,54,0,1,1.35e-06,0,9,0,0,6.52e-07,0,115,0,0,1.06281e-05,0,25,0,19
2.92291e-05,0,28,0,13,2.29e-05,0,51,0,13,0.000197,0,19,0,11,1.7e-08,0,60,0,1,9.64e-07,0,9,0,0,7.26e-07,0,118,0,0,8.4e-06,0,26,0,19
1.5502e-05,0,31,0,13,2.56e-05,0,51,0,13,0.000196,0,20,0,11,1.7e-08,0,61,0,2,5.92e-07,0,12,0,0,8.46e-07,0,118,0,0,3.67e-06,0,28,0,19
8.29e-06,0,37,0,13,1.82e-05,0,51,0,13,0.000194,0,21,0,11,1.52e-08,0,64,0,2,2.79e-07,0,12,0,0,6.48e-07,0,127,0,0,4.46e-06,0,28,0,19
6.44e-06,0,45,0,13,1.03e-05,0,51,0,13,0.000193,0,22,0,11,1.46e-08,0,66,0,2,1.92e-07,0,12,0,0,6.28e-07,0,137,0,0,4.02e-06,0,28,0,19
4.31e-06,0,53,0,13,6.61e-06,0,51,0,13,0.000191,0,22,0,11,1.44e-08,0,68,0,2,5.85e-07,0,13,0,0,6.69e-07,0,177,1,0,3.48e-06,0,29,0,19
3.93e-06,0,60,0,13,7e-06,0,51,0,13,0.00019,0,22,0,11,1.48e-08,0,70,0,2,4.59e-07,0,14,0,0,7.3e-07,0,203,1,0,2.78e-06,0,30,0,19
5.74e-06,0,64,0,13,5.58e-06,0,51,0,13,0.000183,0,22,0,11,1.38e-08,0,70,0,2,3.66e-07,0,14,0,0,5.66e-07,0,211,1,0,3.78e-06,0,33,0,19
5.34e-06,0,66,0,13,7.14e-05,0,51,0,13,0.00018,0,22,0,11,1.32e-08,0,70,0,2,3.87e-07,0,14,0,0,5.45e-07,0,214,1,0,2.54e-06,0,33,0,19
3.79e-06,0,69,0,13,2.9e-05,0,51,0,13,0.000177,0,22,0,11,1.3e-08,0,71,0,2,3.87e-07,0,20,0,1,4.23e-07,0,217,1,0,2.46e-06,0,34,0,19
3.46e-06,0,69,0,13,2.34e-05,0,51,0,13,0.000175,0,22,0,11,1.38e-08,0,72,0,2,3.63e-07,0,20,0,1,3.67e-07,0,220,1,0,2.57e-06,0,34,0,20
1.92e-05,0,69,0,13,2.76e-05,0,51,0,13,0.000173,0,22,0,11,1.44e-08,0,73,0,2,3.88e-07,0,20,0,1,3.62e-07,0,227,1,0,2.04e-06,0,35,0,20
3.92e-05,0,69,0,13,2.47e-05,0,51,0,13,0.000171,0,22,0,11,1.5e-08,0,74,0,2,3.67e-07,0,20,0,1,4.32e-07,0,233,1,0,1.79e-06,0,35,0,20
5.84e-05,0,72,0,13,2.22e-05,0,51,0,13,0.00017,0,22,0,11,1.52e-08,0,80,0,2,3.83e-07,0,20,0,1,4.25e-07,0,234,1,0,1.45e-06,0,35,0,20
5.43e-05,0,72,0,13,1.83e-05,0,51,0,13,0.000168,0,22,0,11,1.54e-08,0,85,0,2,4.27e-07,0,20,0,1,4.29e-07,0,235,1,0,1.11e-06,0,35,0,20
5.12e-05,0,75,0,13,1.93e-05,0,51,0,13,0.000168,0,22,0,11,1.53e-08,0,88,0,2,4.86e-07,0,20,0,1,4.06e-07,0,239,1,0,1.09e-06,0,36,0,20
5.68e-05,0,79,0,13,1.99e-05,0,52,0,13,0.000167,0,22,0,11,1.56e-08,0,88,0,2,4.68e-07,0,20,0,1,3.78e-07,0,243,1,0,9.05e-07,0,36,0,20
5.43e-05,0,80,0,13,1.66e-05,0,58,0,13,0.000167,0,22,0,11,1.58e-08,0,90,0,2,4.89e-07,0,20,0,1,3.73e-07,0,246,1,0,7.69e-07,0,38,0,20
5.21e-05,0,81,0,13,1.65e-05,0,68,0,13,0.000166,0,22,0,11,1.69e-08,0,92,0,2,5.28e-07,0,20,0,1,3.77e-07,0,254,1,0,5.96e-07,0,41,0,20
5.1e-05,0,83,0,13,1.83e-05,0,71,0,13,0.000165,0,22,0,11,1.74e-08,0,94,0,2,5.3e-07,0,20,0,1,4.13e-07,0,265,1,0,5.32e-07,0,42,0,20
5.69e-05,0,90,0,13,0.000178,0,72,0,13,0.000165,0,22,0,11,1.83e-08,0,94,0,2,5.35e-07,0,20,0,1,4.09e-07,0,272,1,0,5.09e-07,0,43,0,20
5e-05,0,91,0,13,1.97e-05,0,72,0,13,0.000164,0,22,0,11,1.87e-08,0,97,0,2,5.45e-07,0,20,0,1,4.04e-07,0,273,1,0,5e-07,0,43,0,20
5.13e-05,0,94,0,14,2.08e-05,0,72,0,13,0.000163,0,22,0,11,1.85e-08,0,99,0,2,5.4e-07,0,20,0,1,4.25e-07,0,274,1,0,4.26e-07,0,43,0,20
4.7e-05,0,96,0,14,2.3e-05,0,74,0,13,0.000161,0,22,0,11,1.75e-08,0,103,0,2,5.52e-07,0,20,0,1,4.26e-07,0,275,1,0,4.04e-07,0,43,0,20
5.32e-05,0,96,0,15,2.26e-05,0,74,0,13,0.000159,0,22,0,11,1.85e-08,0,104,0,2,5.84e-07,0,20,0,1,4.1e-07,0,276,1,0,3.91e-07,0,44,0,20
4.94e-05,0,97,0,15,2.28e-05,0,74,0,13,0.000158,0,22,0,11,1.89e-08,0,108,0,2,6.01e-07,0,20,0,1,4.17e-07,0,278,1,0,3.28e-07,0,48,0,20
4.68e-05,0,98,0,15,2.24e-05,0,74,0,13,0.000157,0,22,0,11,1.91e-08,0,108,0,2,6e-07,0,20,0,1,4.29e-07,0,278,1,0,2.98e-07,0,48,0,20
5.62e-05,0,98,0,15,2.38e-05,0,74,0,13,0.000157,0,22,0,11,2.09e-08,0,108,0,2,6.16e-07,0,20,0,1,3.94e-07,0,279,1,0,2.67e-07,0,48,0,20
5.52e-05,0,98,0,15,2.3e-05,0,74,0,13,0.000156,0,23,0,11,2.14e-08,0,108,0,2,6.44e-07,0,20,0,1,4.01e-07,0,280,1,0,2.48e-07,0,52,0,20
5.6e-05,0,98,0,15,2.26e-05,0,74,0,13,0.000156,0,23,0,11,2.18e-08,0,108,0,2,6.45e-07,0,20,0,1,3.95e-07,0,280,1,0,2.36e-07,0,52,0,20
5.43e-05,0,98,0,15,2.25e-05,0,74,0,13,0.000156,0,23,0,11,2.17e-08,0,108,0,2,6.29e-07,0,20,0,1,3.94e-07,0,280,1,0,2.11e-07,0,52,0,20
5.28e-05,0,98,0,15,2.26e-05,0,74,0,13,0.000155,0,23,0,11,2.18e-08,0,108,0,2,6.15e-07,0,20,0,1,3.83e-07,0,280,1,0,1.8e-07,0,52,0,20
5.14e-05,0,98,0,15,2.4e-05,0,74,0,13,0.000155,0,23,0,11,2.25e-08,0,108,0,2,6.03e-07,0,20,0,1,3.65e-07,0,280,1,0,1.72e-07,0,57,0,20
5.12e-05,0,98,0,15,2.38e-05,0,74,0,13,0.000154,0,23,0,11,2.29e-08,0,108,0,2,6.07e-07,0,20,0,1,3.58e-07,0,280,1,0,1.6e-07,0,58,0,20
5.05e-05,0,98,0,15,2.35e-05,0,74,0,13,0.000154,0,23,0,11,2.33e-08,0,108,0,2,6.14e-07,0,20,0,1,3.57e-07,0,280,1,0,1.49e-07,0,59,0,20
5.27e-05,0,98,0,15,2.33e-05,0,74,0,13,0.000154,0,23,0,11,2.38e-08,0,108,0,2,6.2e-07,0,20,0,1,3.54e-07,0,280,1,0,1.35e-07,0,61,0,20
5.48e-05,0,98,0,15,2.29e-05,0,74,0,13,0.000153,0,23,0,11,2.4e-08,0,108,0,2,6.04e-07,0,20,0,1,3.4e-07,0,280,1,0,1.3e-07,0,63,0,20
5.66e-05,0,98,0,15,2.29e-05,0,74,0,13,0.000153,0,23,0,11,2.4e-08,0,108,0,2,6.04e-07,0,20,0,1,3.37e-07,0,280,1,0,1.19e-07,0,63,0,20
5.78e-05,0,98,0,15,2.27e-05,0,74,0,13,0.000153,0,23,0,11,2.4e-08,0,108,0,2,5.97e-07,0,20,0,1,3.33e-07,0,280,1,0,1.13e-07,0,71,0,20
5.73e-05,0,98,0,15,2.29e-05,0,74,0,13,0.000153,0,23,0,11,2.43e-08,0,108,0,2,6.05e-07,0,20,0,1,3.31e-07,0,280,1,0,1.08e-07,0,71,0,20
5.65e-05,0,98,0,15,2.3e-05,0,74,0,13,0.000153,0,23,0,11,2.47e-08,0,108,0,2,6.26e-07,0,20,0,1,3.27e-07,0,280,1,0,1.03e-07,0,71,0,20
5.84e-05,0,98,0,15,2.32e-05,0,74,0,13,0.000153,0,23,0,11,2.48e-08,0,108,0,2,6.22e-07,0,20,0,1,3.27e-07,0,280,1,0,9.87e-08,0,83,0,20
6e-05,0,98,0,15,2.35e-05,0,74,0,13,0.000152,0,23,0,11,2.49e-08,0,108,0,2,6.19e-07,0,20,0,1,3.23e-07,0,280,1,0,9.49e-08,0,85,0,20
6e-05,0,98,0,15,0.1,0,74,0,13,0.000152,0,23,0,11,2.5e-08,0,108,0,2,6.16e-07,0,20,0,1,3.2e-07,0,280,1,0,8.81e-08,0,85,0,20
6e-05,0,98,0,15,0.1,0,74,0,13,0.000152,0,23,0,11,2.5e-08,0,108,0,2,6.14e-07,0,20,0,1,3.17e-07,0,280,1,0,8.39e-08,0,87,0,20
6.03e-05,0,98,0,15,0.1,0,74,0,13,0.000152,0,23,0,11,2.5e-08,0,108,0,2,6.13e-07,0,20,0,1,3.15e-07,0,280,1,0,7.7e-08,0,87,0,20
5.98e-05,0,98,0,15,0.1,0,74,0,13,0.000152,0,23,0,11,2.53e-08,0,108,0,2,6.05e-07,0,20,0,1,3.14e-07,0,280,1,0,7.26e-08,0,90,0,20
5.88e-05,0,98,0,15,0.1,0,74,0,13,0.000152,0,23,0,11,2.51e-08,0,108,0,2,6.05e-07,0,20,0,1,3.14e-07,0,280,1,0,6.94e-08,0,90,0,20
5.86e-05,0,98,0,15,0.1,0,74,0,13,0.000152,0,23,0,11,2.57e-08,0,108,0,2,6.16e-07,0,20,0,1,3.23e-07,0,280,1,0,6.36e-08,0,90,0,20
5.83e-05,0,98,0,15,0.1,0,74,0,13,0.000152,0,23,0,11,2.58e-08,0,108,0,2,6.14e-07,0,20,0,1,3.18e-07,0,280,1,0,5.95e-08,0,90,0,20
5.83e-05,0,98,0,15,0.1,0,74,0,13,0.000152,0,23,0,11,2.58e-08,0,108,0,2,6.11e-07,0,20,0,1,3.15e-07,0,280,1,0,5.57e-08,0,90,0,20
5.83e-05,0,98,0,15,0.1,0,74,0,13,0.000151,0,23,0,11,2.57e-08,0,108,0,2,6.21e-07,0,20,0,1,3.1e-07,0,280,1,0,5.33e-08,0,90,0,20
5.83e-05,0,98,0,15,0.1,0,74,0,13,0.00015,0,23,0,11,2.56e-08,0,108,0,2,6.19e-07,0,20,0,1,3.07e-07,0,280,1,0,4.9e-08,0,90,0,20
5.83e-05,0,98,0,15,0.1,0,74,0,13,0.00015,0,23,0,11,2.57e-08,0,108,0,2,6.16e-07,0,20,0,1,3.05e-07,0,280,1,0,4.58e-08,0,90,0,20
5.83e-05,0,98,0,15,0.1,0,74,0,13,0.000149,0,23,0,11,2.58e-08,0,108,0,2,6.15e-07,0,20,0,1,3.03e-07,0,280,1,0,4.38e-08,0,90,0,20
5.83e-05,0,98,0,15,0.1,0,74,0,13,0.000149,0,23,0,11,2.59e-08,0,108,0,2,6.15e-07,0,20,0,1,3.03e-07,0,280,1,0,4.19e-08,0,90,0,20
